OTU_id,lineage,kingdom,genus,species
1041480,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,Eukaryota,Blastodinium,NA
42668,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Euchaeta,Eukaryota,Euchaeta,NA
209635,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,Eukaryota,Blastodinium,NA
225846,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Eucampia,Eukaryota,Eucampia,NA
28165,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,Eukaryota,Blastodinium,NA
1075834,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|23|Blastodiniaceae|Blastodinium_04|galatheanum,Eukaryota,Blastodinium,NA
25449,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Acartia|Acartia+longiremis,Eukaryota,Acartia,longiremis
1086680,Eukaryota|Excavata|Discoba|Euglenozoa|Diplonemea|Diplonemea_X|Rhynchopus|Rhynchopus+sp.,Eukaryota,Rhynchopus,sp.
158579,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Dinophysiales|03|Dinophysiaceae|Phalacroma_02|sp.,Eukaryota,Phalacroma,NA
17141,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gymnodiniales|28|Gymnodiniaceae|Gymnodinium_06,Eukaryota,Gymnodinium,NA
206254,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Acrosphaera|Acrosphaera+sp.,Eukaryota,Acrosphaera,sp.
1109385,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collosphaera|Collosphaera+globularis-huxleyi,Eukaryota,Collosphaera,globularis-huxleyi
117560,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+rostratus,Eukaryota,Chaetoceros,rostratus
227715,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
216594,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Acrosphaera|Acrosphaera+sp.,Eukaryota,Acrosphaera,sp.
153238,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+inerme,Eukaryota,Collozoum,inerme
3507,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+rostratus,Eukaryota,Chaetoceros,rostratus
