"genus_1","genus_2","instability","weight"
"Paraclostridium","Acinetobacter",0.2688,-0.0456186276789994
"Pseudomonas","Plesiomonas",0.2822,-0.0288003927911161
"Lactobacillus","Crenobacter",0.3078,-0.0503215160107203
"Ensifer","Shewanella",0.32,-0.0679986583415638
"Fluviicola","Mycoplasma",0.3542,-0.0299685404569181
"Mycoplasma","ZOR0006",0.3648,-0.0309286761827414
"Fusobacterium","A-N-P-R",0.4032,-0.003950925137673
"Paraclostridium","Shewanella",0.4278,-0.0316422986463861
"Aurantisolimonas","Shewanella",0.4352,-0.0155279597859055
"Paracoccus","Flavobacterium",0.4488,-0.0139540580226122
"Undibacterium","Crenobacter",0.455,-0.0375085735827973
"Caenimonas","Fluviicola",0.455,-0.0311825303418483
"Chitinimonas","Flavobacterium",0.455,-0.0291891364668547
"Weissella","Cloacibacterium",0.4608,-0.0435054932425083
"Paraclostridium","Chitinibacter",0.4608,-0.018308985158403
"Luteimonas","Paucibacter",0.4608,-0.00476672795556498
"ZOR0006","Paucibacter",0.4712,-0.0193666660625453
"Fusobacterium","Fluviicola",0.4758,-0.00988292246272101
"A-N-P-R","ZOR0006",0.4902,-0.0205109634708065
"Weissella","Chitinibacter",0.4902,-0.00935224605269283
"Weissella","Fluviicola",0.495,-0.00849727186274342
"Chitinimonas","Cloacibacterium",0.4968,-0.0156118246944287
"Phreatobacter","A-N-P-R",0.4968,-0.0055112051726072
"Fluviicola","Undibacterium",0.4982,-0.0235527864698772
"Flavobacterium","Shewanella",0.4982,-0.00772355888205285
"A-N-P-R","Mycoplasma",0.4998,-0.00103441538579373
